year,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
1960,0.55265659909387,0.89404682966823,1.055101970696,6.4654354192436,1.1628181965655,12.970955937498,7.3738707253179,1.3393386813619
1961,0.55831542512699,0.78761344895484,1.0892597938314,6.6213399468103,1.1854645907824,12.710120975979,7.4106769172807,1.3210278756049
1962,0.559575104711,0.7339618074627,1.2458736853467,6.9214148014332,1.3353665499338,12.960788076731,7.5098547812162,1.3744408866109
1963,0.57889074705542,0.75799463666235,1.0422088204844,7.3371038207203,1.4702004598202,13.288498195192,7.8557102784255,1.361483955589
1964,0.62021883975998,0.77595713401874,1.2008421617628,7.6005131884129,1.6764970353484,13.737271583439,8.3361031023816,1.3911276911252
1965,0.66748113160242,0.82296888121164,1.1633785468474,7.7757886729296,1.9480005732335,14.09965237707,8.9873918983548,1.4140772689919
1966,0.67369621945872,0.8686344645346,1.1331395026112,7.9470848705486,2.1833459034739,14.581171056121,8.7815307674137,1.4467315412613
1967,0.70438117423885,0.85969172291638,1.2272421915862,8.0656511850446,2.1955788385531,14.988639940236,9.1153457462328,1.4967373408903
1968,0.74537621079623,0.92154883987237,1.236089461373,8.3868528835409,2.4529199597473,15.369576451625,9.2454444839984,1.5710599137317
1969,0.7848535436128,1.0187151480021,1.3459506709803,8.7954029653375,2.7151483032902,15.900811544149,9.5274469659394,1.6595061454132
1970,0.83292180663112,1.1836866236191,1.5602473132894,9.1792654895117,2.8066586517195,16.928081363678,9.7026793187439,1.7590538768313
1971,0.89008969163382,1.2569848808844,1.6223605270989,9.4495310424763,3.1974223898788,16.875194233892,9.8760364251169,1.762854139148
1972,0.91948849703833,1.2971964844871,1.6701245013691,9.7286296653027,3.3520913839475,17.484971220339,9.9975629661536,1.802599872616
1973,0.96216077531034,1.3384132826958,1.8638467191337,10.120237602449,3.8664533251909,17.989358458343,10.757988927637,1.9086541612245
1974,0.96269528421029,1.3302917992936,1.8072899873423,10.086536097557,3.8876537973039,17.248095918855,10.725429042893,1.9795561071194
1975,0.9344775153863,1.3815102680649,1.8397621241396,10.065415441759,3.6950674610679,16.442030910909,10.734501655926,1.914339496344
1976,0.98655897772677,1.4223101783306,2.1175370222596,10.58458258835,4.1937661523127,16.975769048326,10.55693682308,1.904901466907
1977,0.98908797889592,1.4874308941235,2.0104059251432,10.598685323438,4.2803663727196,17.230878531042,11.220698009125,1.9311242898873
