year,bau_high,bau_low,pledges_high,pledges_low,current_policy_high,current_policy_low,optimistic_policy,d2_high,d2_median,d2_low,d15_high,d15_median,d15_low,historical
1990,,,,,,,,,,,,,,35.9892772410999
1991,,,,,,,,,,,,,,36.3529059805546
1992,,,,,,,,,,,,,,35.529754806517
1993,,,,,,,,,,,,,,35.7364773912376
1994,,,,,,,,,,,,,,35.8572448217216
1995,,,,,,,,,,,,,,36.6681849423253
1996,,,,,,,,,,,,,,37.3170319100897
1997,,,,,,,,,,,,,,37.6894974075812
1998,,,,,,,,,,,,,,38.0387711589038
1999,,,,,,,,,,,,,,38.2936544723947
2000,,,39.24806,39.24823,39.27052,39.27052,39.27052,,,,,,,39.24806
2001,,,39.71912,39.71929,39.72026,39.72026,39.72026,,,,,,,39.71912
2002,,,40.35703,40.3565,40.35792,40.35792,40.35792,,,,,,,40.35703
2003,,,41.74622,41.74519,41.74784,41.74784,41.74784,,,,,,,41.74622
2004,,,43.13231,43.12773,43.13429,43.13429,43.13429,,,,,,,43.13231
2005,43.1642237716043,43.1642237716043,44.35265,44.34833,44.35437,44.35437,44.35437,,,,,,,44.35265
2006,44.3232076176043,43.2906564016043,45.39529,45.39183,45.3978,45.3978,45.3978,,,,,,,45.39529
2007,45.4821914636043,43.4170890316043,46.53702,46.53487,46.54017,46.54017,46.54017,,,,,,,46.53702
2008,46.6411753096043,43.5435216616043,46.81421,46.81467,46.82495,46.82495,46.82495,,,,,,,46.81421
2009,47.8001591556043,43.6699542916043,46.21983,46.22033,46.23311,46.23311,46.23311,,,,,,,46.21983
2010,48.9591430016043,43.7963869216043,48.11775,48.11777,48.13434,48.13434,48.13434,48.1,48.1,48.1,48.1,48.1,48.1,48.11775
2011,50.7100209886043,44.7559596965543,49.15933,49.15852,49.1804,49.1804,49.1804,48.8354029453246,48.6368478055888,48.406563450447,48.6727923150091,48.6368478055888,48.341228174085,50
2012,52.4608989756043,45.7155324715043,49.62342,49.62307,49.65324,49.65293,49.65293,49.5708058906492,49.1736956111776,48.713126900894,49.2455846300181,49.1736956111776,48.5824563481701,50
2013,54.2117769626043,46.6751052464543,50.16259,50.08324,50.33446,50.33283,50.33283,50.3062088359738,49.7105434167664,49.0196903513411,49.8183769450272,49.7105434167664,48.8236845222551,51
2014,55.9626549496043,47.6346780214043,50.31558,49.97728,50.46435,50.45976,50.45976,51.0416117812984,50.2473912223552,49.3262538017881,50.3911692600362,50.2473912223552,49.0649126963401,51
2015,57.7135329366043,48.5942507963543,50.42474,50.15597,50.58613,50.56466,50.5712,51.777014726623,50.784239027944,49.6328172522351,50.9639615750453,50.784239027944,49.3061408704252,51
2016,59.4644109236043,49.5538235713043,50.37238,50.14651,50.65214,50.59183,50.59336,52.5124176719476,51.3210868335327,49.9393807026821,51.5367538900543,51.3210868335327,49.5473690445102,
2017,61.2152889106043,50.5133963462543,50.8039,50.51961,51.21682,51.11499,51.11892,53.2478206172722,51.8579346391215,50.2459441531291,52.1095462050634,51.8579346391215,49.7885972185952,
2018,62.9661668976043,51.4729691212043,51.18679,50.70204,51.85774,51.6746,51.66841,53.9832235625968,52.3947824447103,50.5525076035761,52.6823385200724,52.3947824447103,50.0298253926803,
2019,64.7170448846043,52.4325418961543,51.44794,50.54706,52.17628,51.73018,51.78777,54.7186265079214,52.9316302502991,50.8590710540231,53.2551308350815,52.9316302502991,50.2710535667653,
