year,global_emissions,description,compatible_with_degrees
2010,38.5,SR15 P1,1.5
2011,38.6,SR15 P1,1.5
2012,38.7,SR15 P1,1.5
2013,38.8,SR15 P1,1.5
2014,39,SR15 P1,1.5
2015,39.1,SR15 P1,1.5
2016,39.2,SR15 P1,1.5
2017,39.3,SR15 P1,1.5
2018,39.4,SR15 P1,1.5
2019,39.5,SR15 P1,1.5
2020,39.6,SR15 P1,1.5
2021,37.2,SR15 P1,1.5
2022,34.9,SR15 P1,1.5
2023,32.6,SR15 P1,1.5
2024,30.2,SR15 P1,1.5
2025,27.9,SR15 P1,1.5
2026,25.6,SR15 P1,1.5
2027,23.2,SR15 P1,1.5
2028,20.9,SR15 P1,1.5
2029,18.5,SR15 P1,1.5
2030,16.2,SR15 P1,1.5
2031,15.4,SR15 P1,1.5
2032,14.5,SR15 P1,1.5
2033,13.7,SR15 P1,1.5
2034,12.9,SR15 P1,1.5
2035,12,SR15 P1,1.5
2036,11.2,SR15 P1,1.5
2037,10.4,SR15 P1,1.5
2038,9.5,SR15 P1,1.5
2039,8.7,SR15 P1,1.5
2040,7.9,SR15 P1,1.5
2041,7.4,SR15 P1,1.5
2042,6.8,SR15 P1,1.5
2043,6.3,SR15 P1,1.5
2044,5.8,SR15 P1,1.5
2045,5.3,SR15 P1,1.5
2046,4.8,SR15 P1,1.5
2047,4.3,SR15 P1,1.5
2048,3.8,SR15 P1,1.5
2049,3.2,SR15 P1,1.5
2050,2.7,SR15 P1,1.5
2051,2.5,SR15 P1,1.5
2052,2.2,SR15 P1,1.5
2053,1.9,SR15 P1,1.5
2054,1.6,SR15 P1,1.5
2055,1.3,SR15 P1,1.5
2056,1.1,SR15 P1,1.5
2057,0.8,SR15 P1,1.5
2058,0.5,SR15 P1,1.5
2059,0.2,SR15 P1,1.5
2060,-0.1,SR15 P1,1.5
2061,-0.2,SR15 P1,1.5
2062,-0.4,SR15 P1,1.5
2063,-0.5,SR15 P1,1.5
2064,-0.7,SR15 P1,1.5
2065,-0.9,SR15 P1,1.5
2066,-1,SR15 P1,1.5
2067,-1.2,SR15 P1,1.5
2068,-1.3,SR15 P1,1.5
2069,-1.5,SR15 P1,1.5
2070,-1.7,SR15 P1,1.5
2071,-1.7,SR15 P1,1.5
2072,-1.8,SR15 P1,1.5
2073,-1.9,SR15 P1,1.5
